Table 1,,,,,,,,
,UA,UANAME,UA00,UA00NAME,UAPOP,UA00POP,UAAREALAND,UA00AREALAND
,52390,"McAllen, TX                                                                                         ",52390,"McAllen, TX",728825,523144,357.99,313.83
,65269,"Omaha, NE--IA                                                                                       ",65269,"Omaha, NE--IA",725008,626623,271.21,226.36
,22528,"Dayton, OH                                                                                          ",22528,"Dayton, OH",724091,703444,351.44,323.56
,75664,"Rochester, NY                                                                                       ",75664,"Rochester, NY",720572,694396,324.47,295.15
,1495,"Allentown, PA--NJ                                                                                   ",1495,"Allentown--Bethlehem, PA--NJ",664651,576408,346.29,289.50
,88948,"Tulsa, OK                                                                                           ",88948,"Tulsa, OK",655479,558329,335.91,261.40
,31843,"Fresno, CA                                                                                          ",31843,"Fresno, CA",654628,554923,171.28,138.62
,79606,"Sarasota--Bradenton, FL                                                                             ",79606,"Sarasota--Bradenton, FL",643260,559229,326.69,270.44
,83926,"Springfield, MA--CT                                                                                 ",83926,"Springfield, MA--CT",621300,573610,348.56,308.98
,19504,"Concord, CA                                                                                         ",19504,"Concord, CA",615968,552624,203.75,176.46
,970,"Albany--Schenectady, NY                                                                             ",928,"Albany, NY",594962,558947,295.73,284.25
,5680,"Baton Rouge, LA                                                                                     ",5680,"Baton Rouge, LA",594309,479019,366.79,280.65
,57709,"Mission Viejo--Lake Forest--San Clemente, CA                                                        ",57709,"Mission Viejo, CA",583681,533015,150.53,136.89
,34300,"Grand Rapids, MI                                                                                    ",34300,"Grand Rapids, MI",569935,539080,280.57,257.35
,766,"Akron, OH                                                                                           ",766,"Akron, OH",569499,570215,325.38,307.81
,62407,"New Haven, CT                                                                                       ",62407,"New Haven, CT",562839,531314,306.11,285.31
,18856,"Colorado Springs, CO                                                                                ",18856,"Colorado Springs, CO",559409,466122,187.84,197.36
,45640,"Knoxville, TN                                                                                       ",45640,"Knoxville, TN",558696,419830,438.15,339.48
,18964,"Columbia, SC                                                                                        ",18964,"Columbia, SC",549777,420537,380.02,268.93
,15508,"Charleston--North Charleston, SC                                                                    ",15508,"Charleston--North Charleston, SC",548404,423410,293.35,230.94
,64945,"Ogden--Layton, UT                                                                                   ",64945,"Ogden--Layton, UT",546026,417933,217.55,180.05
,13510,"Cape Coral, FL                                                                                      ",13510,"Cape Coral, FL",530290,329757,330.31,191.82
,4681,"Bakersfield, CA                                                                                     ",4681,"Bakersfield, CA",523994,396125,138.44,110.33
,87868,"Toledo, OH--MI                                                                                      ",87868,"Toledo, OH--MI",507643,503008,240.44,202.33
,97291,"Worcester, MA--CT                                                                                   ",97291,"Worcester, MA--CT",486514,429882,304.11,250.32
,72559,"Provo--Orem, UT                                                                                     ",72559,"Provo--Orem, UT",482819,303680,168.97,85.00
,95077,"Wichita, KS                                                                                         ",95077,"Wichita, KS",472870,422301,214.74,179.51
,67105,"Palm Bay--Melbourne, FL                                                                             ",67105,"Palm Bay--Melbourne, FL",452791,393289,231.98,219.74
,23743,"Des Moines, IA                                                                                      ",23743,"Des Moines, IA",450070,370505,200.59,140.32
,37081,"Harrisburg, PA                                                                                      ",37081,"Harrisburg, PA",444474,362782,259.68,208.39
,60799,"Murrieta--Temecula--Menifee, CA                                                                     ",87004,"Temecula--Murrieta, CA",441546,229810,161.72,95.59
,50392,"Little Rock, AR                                                                                     ",50392,"Little Rock, AR",431388,360331,258.31,205.57
,71803,"Poughkeepsie--Newburgh, NY--NJ                                                                      ",71803,"Poughkeepsie--Newburgh, NY",423566,351982,327.14,264.99
,86302,"Syracuse, NY                                                                                        ",86302,"Syracuse, NY",412317,402267,194.93,179.66
,47530,"Lancaster, PA                                                                                       ",47530,"Lancaster, PA",402004,323554,247.53,199.43
,53200,"Madison, WI                                                                                         ",53200,"Madison, WI",401661,329533,151.00,113.92
,35461,"Greenville, SC                                                                                      ",35461,"Greenville, SC",400492,302194,320.25,226.54
,74179,"Reno, NV--CA                                                                                        ",74179,"Reno, NV",392141,303689,164.38,118.60
,96670,"Winston-Salem, NC                                                                                   ",96670,"Winston-Salem, NC",391024,299290,322.58,251.38
,83764,"Spokane, WA                                                                                         ",83764,"Spokane, WA--ID",387847,334858,164.20,143.05
,97831,"Youngstown, OH--PA                                                                                  ",97831,"Youngstown, OH--PA",387550,417437,241.09,228.27
,4222,"Augusta-Richmond County, GA--SC                                                                     ",4222,"Augusta-Richmond County, GA--SC",386787,335630,259.52,231.79
,80227,"Scranton, PA                                                                                        ",80227,"Scranton, PA",381502,385237,170.79,158.70
