year,city_token,name,population,area_sqmi,area_ha,m2_per_person
2010,Atlanta,"Atlanta, GA                                                                                         ",4515419.0,2645.35,685142.5047677340,1517.3398188910800
2020,Atlanta,"Atlanta, GA",5100112.0,2553.05,661236.9145093330,1296.514497150910
1950,Boston,Boston,2233448.0,344.8,89302.79004438530,399.84270976707400
1960,Boston,Boston,2413236.0,515.8,133591.58673113100,553.5786252613950
1970,Boston,Boston,2652575.0,664.4,172078.81005072400,648.7236366576770
1980,Boston,Boston,2678762.0,857.0,221961.98105579500,828.599110543584
1990,Boston,"Boston, MA",2775370.0,891.2,230819.74039314400,831.6719586690940
2000,Boston,"Boston, MA--NH--RI",4032484.0,1736.18,449668.5557403160,1115.1155360822700
2010,Boston,"Boston, MA--NH--RI                                                                                  ",4181019.0,1873.46,485223.9125190080,1160.5398409311400
2020,Boston,"Boston, MA--NH",4382009.0,1655.89,428873.54120242800,978.7144234583450
1950,Phoenix,Phoenix,216038.0,55.1,14270.83448795140,660.5705703603700
1960,Phoenix,Phoenix,552043.0,248.4,64335.304660746200,1165.4038663790000
1970,Phoenix,Phoenix,863357.0,387.5,100362.03927552,1162.4627966822500
1980,Phoenix,Phoenix,1409279.0,641.0,166018.2378725380,1178.0366972937100
1990,Phoenix,"Phoenix, AZ",2006239.0,741.1,191944.01885700100,956.73555771272
2000,Phoenix,"Phoenix--Mesa, AZ",2907049.0,799.01,206942.64000395700,711.8649874974820
2010,Phoenix,"Phoenix--Mesa, AZ                                                                                   ",3629114.0,1146.57,296960.2667667950,818.2720817444560
2020,Phoenix,"Phoenix--Mesa--Scottsdale, AZ",3976313.0,1110.48,287612.9996765920,723.3157944975460
1950,Detroit,Detroit,2751971.0,422.7,109478.79742390300,397.8195897554980
1960,Detroit,Detroit,3537709.0,731.9,189561.22979549200,535.8304761513510
1970,Detroit,Detroit,3970584.0,872.0,225846.96322129900,568.8003659444030
1980,Detroit,Detroit,3809327.0,1044.0,270394.75871907800,709.8229128638170
1990,Detroit,"Detroit, MI",3697529.0,1119.4,289923.26907101200,784.1000545797260
2000,Detroit,"Detroit, MI",3903377.0,1261.45,326714.05017833500,837.0035745415690
2010,Detroit,"Detroit, MI                                                                                         ",3734090.0,1337.16,346322.85016168900,927.4625147269850
2020,Detroit,"Detroit, MI",3776890.0,1284.83,332769.4423803000,881.0673394785140
