year,city_token,name,population,area_sqmi,area_ha,m2_per_person
2010,Atlanta,"Atlanta, GA                                                                                         ",4515419.0,2645.35,685142.5047677337,1517.3398188910792
2020,Atlanta,"Atlanta, GA",5100112.0,2553.05,661236.9145093326,1296.514497150911
1950,Boston,Boston,2233448.0,344.8,89302.79004438529,399.84270976707444
1960,Boston,Boston,2413236.0,515.8,133591.58673113087,553.5786252613954
1970,Boston,Boston,2652575.0,664.4,172078.81005072384,648.7236366576773
1980,Boston,Boston,2678762.0,857.0,221961.98105579522,828.599110543584
1990,Boston,"Boston, MA",2775370.0,891.2,230819.74039314434,831.6719586690939
2000,Boston,"Boston, MA--NH--RI",4032484.0,1736.18,449668.5557403157,1115.1155360822652
2010,Boston,"Boston, MA--NH--RI                                                                                  ",4181019.0,1873.46,485223.9125190083,1160.5398409311422
2020,Boston,"Boston, MA--NH",4382009.0,1655.89,428873.54120242794,978.7144234583452
1950,Phoenix,Phoenix,216038.0,55.1,14270.83448795136,660.5705703603701
1960,Phoenix,Phoenix,552043.0,248.4,64335.304660746246,1165.4038663790002
1970,Phoenix,Phoenix,863357.0,387.5,100362.03927552,1162.4627966822532
1980,Phoenix,Phoenix,1409279.0,641.0,166018.2378725376,1178.0366972937056
1990,Phoenix,"Phoenix, AZ",2006239.0,741.1,191944.01885700098,956.73555771272
2000,Phoenix,"Phoenix--Mesa, AZ",2907049.0,799.01,206942.64000395674,711.8649874974819
2010,Phoenix,"Phoenix--Mesa, AZ                                                                                   ",3629114.0,1146.57,296960.2667667948,818.2720817444555
2020,Phoenix,"Phoenix--Mesa--Scottsdale, AZ",3976313.0,1110.48,287612.9996765922,723.3157944975462
1950,Detroit,Detroit,2751971.0,422.7,109478.79742390272,397.8195897554979
1960,Detroit,Detroit,3537709.0,731.9,189561.22979549185,535.8304761513506
1970,Detroit,Detroit,3970584.0,872.0,225846.96322129923,568.8003659444032
1980,Detroit,Detroit,3809327.0,1044.0,270394.75871907844,709.8229128638168
1990,Detroit,"Detroit, MI",3697529.0,1119.4,289923.26907101186,784.1000545797258
2000,Detroit,"Detroit, MI",3903377.0,1261.45,326714.05017833476,837.0035745415694
2010,Detroit,"Detroit, MI                                                                                         ",3734090.0,1337.16,346322.85016168864,927.4625147269846
2020,Detroit,"Detroit, MI",3776890.0,1284.83,332769.4423803003,881.0673394785136
1950,Seattle,Seattle,621509.0,122.9,31830.953876029445,512.1559603485942
1960,Seattle,Seattle,864109.0,238.3,61719.41666930689,714.2549917812091
1970,Seattle,Seattle,1238107.0,413.1,106992.40883798017,864.1612464672291
1980,Seattle,Seattle,1391535.0,485.0,125614.423351296,902.7040164372149
1990,Seattle,"Seattle, WA",1744086.0,587.9,152265.40100665344,873.0383765860939
2000,Seattle,"Seattle, WA",2712205.0,953.63,246989.03616597198,910.6576979467702
2010,Seattle,"Seattle, WA                                                                                         ",3059393.0,1010.31,261669.08877535642,855.2974030317662
2020,Seattle,"Seattle--Tacoma, WA",3544011.0,982.52,254471.5118167327,718.0325112329863
1950,San Francisco,San Francisco,2022078.0,287.3,74410.35840995329,367.9895553482768
1960,San Francisco,San Francisco,2430663.0,571.5,148017.8205057024,608.9606848242739
1970,San Francisco,San Francisco,2987850.0,681.0,176378.1903138816,590.3180893079693
1980,San Francisco,San Francisco,3190698.0,796.0,206163.0535827456,646.1377842175775
1990,San Francisco,"San Francisco--Oakland, CA",3629516.0,874.1,226390.8607244698,623.7494495807975
2000,San Francisco,"San Francisco--Oakland, CA",3228605.0,526.66,136404.31381895576,422.4868443769236
2010,San Francisco,"San Francisco--Oakland, CA                                                                          ",3281212.0,523.62,135616.95743341366,413.3136092194398
2020,San Francisco,"San Francisco--Oakland, CA",3515933.0,513.8,133073.58910906367,378.48727239416587
1950,San Diego,San Diego,432974.0,132.6,34343.24234305536,793.1941027187628
1960,San Diego,San Diego,836175.0,275.7,71405.97220196352,853.9596639694265
