Table 1,,,,,,,,,,,,,,
,,,Place,Population ,Land area,,,,,,,,,
,,133,Greeley,62297,20,,,,,,,,,
,,134,Green Bay,142747,86,,,,,,,,,
,,135,Greensboro,170457,74,,,,,,,,,
,,136,Greenville,229303,141,,,,,,,,,
,,137,Hagerstown,66277,37,,,,,,,,,
,,138,Hamilton,105026,45,,,,,,,,,
,,139,Harlingen,66702,41,,,,,,,,,
,,140,Harrisburg,278296,137,,,,,,,,,
,,141,Hartford,510034,208,,,,,,,,,
,,142,Hattiesburg,56542,43,,,,,,,,,
,,143,Hemet,55377,28,,,,,,,,,
,,144,Hickory,62329,55,,,,,,,,,
,,145,High Point,100089,69,,,,,,,,,
,,146,Honolulu,582463,135,,,,,,,,,
,,147,Houma,65780,51,,,,,,,,,
,,148,Houston,2412664,1049,,,,,,,,,
,,149,Huntington,179840,75,,,,,,,,,
,,150,Hunstville,153841,136,,,,,,,,,
,,151,Indianapolis,836472,433,,,,,,,,,
,,152,Iowa City,59295,30,,,,,,,,,
,,153,Jackson,81178,37,,,,,,,,,
,,154,Jackson,265051,172,,,,,,,,,
,,155,Jackson,50338,38,,,,,,,,,
,,156,Jacksonville,598015,431,,,,,,,,,
,,157,Jacksonville,72891,63,,,,,,,,,
,,158,Janesville,51643,23,,,,,,,,,
,,159,Johnson City,78473,61,,,,,,,,,
,,160,Johnstown,90254,36,,,,,,,,,
,,161,Joliet,167475,70,,,,,,,,,
,,162,Joplin,57658,70,,,,,,,,,
,,163,Kailua,105712,34,,,,,,,,,
,,164,Kalamazoo,154990,78,,,,,,,,,
,,165,Kankakee,61451,21,,,,,,,,,
,,166,Kansas City,1097793,589,,,,,,,,,
,,167,Kenosha,85742,22,,,,,,,,,
,,168,Killeen,88145,40,,,,,,,,,
,,169,Kingsport,89760,93,,,,,,,,,
,,170,Knoxville,284708,197,,,,,,,,,
,,171,Kokomo,61224,21,,,,,,,,,
,,172,La Crosse,67966,27,,,,,,,,,
,,173,Lafayette,113999,48,,,,,,,,,
,,174,Lafayette,91380,29,,,,,,,,,
,,175,Lake Charles,123820,85,,,,,,,,,
,,176,Lakeland,114360,77,,,,,,,,,
,,177,Lancaster,56328,45,,,,,,,,,
,,178,Lancaster,157385,66,,,,,,,,,
,,179,Lansing,254704,83,,,,,,,,,
,,180,Laredo,94961,22,,,,,,,,,
,,181,Las Cruces,55072,31,,,,,,,,,
,,182,Las Vegas,432874,185,,,,,,,,,
,,183,Lawrence,52810,19,,,,,,,,,
,,184,Lawrence,211428,104,,,,,,,,,
,,185,Lawton,96134,54,,,,,,,,,
,,186,Lewiston,70108,79,,,,,,,,,
,,187,Lexington,194093,76,,,,,,,,,
,,188,Lima,70104,33,,,,,,,,,
,,189,Lincoln,173550,64,,,,,,,,,
,,190,Little Rock,295133,164,,,,,,,,,
,,191,Longview,69757,53,,,,,,,,,
,,192,Longview,55076,33,,,,,,,,,
,,193,Lorain,225331,144,,,,,,,,,
,,194,Los Angeles,9479436,1827,,,,,,,,,
,,195,Louisville,761002,261,,,,,,,,,
,,196,Lowell,157412,60,,,,,,,,,
,,197,Lubbock,175479,94,,,,,,,,,
,,198,Lynchburg,93921,89,,,,,,,,,
,,199,McAllen,157423,63,,,,,,,,,
,,200,Macon,130871,62,,,,,,,,,
,,201,Madison,213675,77,,,,,,,,,
,,202,Manchester,102844,42,,,,,,,,,
,,203,Mansfield,78948,49,,,,,,,,,
,,204,Medford,52469,24,,,,,,,,,
,,205,Melbourne,212917,167,,,,,,,,,
,,206,Memphis,"774,551",296,,,,,,,,,
,,207,Meriden,57118,23,,,,,,,,,
,,208,Miami,1608159,340,,,,,,,,,
,,209,Middletown,91730,61,,,,,,,,,
,,210,Midland,71606,36,,,,,,,,,
,,211,Milwaukee,1207008,496,,,,,,,,,
,,212,Minneapolis,1787564,980,,,,,,,,,
,,213,Missoula,58035,28,,,,,,,,,
,,214,Mobile,295493,197,,,,,,,,,
,,215,Modesto,159538,46,,,,,,,,,
,,216,Monessen,65884,41,,,,,,,,,
,,217,Monroe,112537,71,,,,,,,,,
,,218,Montgomery,196947,118,,,,,,,,,
,,219,Muncie,91479,35,,,,,,,,,
,,220,Muskegon,105634,57,,,,,,,,,
,,221,Napa,59277,19,,,,,,,,,
,,222,Naples,53675,50,,,,,,,,,
,,223,Nashua,75299,35,,,,,,,,,
,,224,Nashville,518325,413,,,,,,,,,
,,225,Newark,50839,28,,,,,,,,,
,,226,New Bedford,133274,38,,,,,,,,,
,,227,New Britain,135817,38,,,,,,,,,
,,228,Newburgh,65711,44,,,,,,,,,
,,229,New Haven,368061,155,,,,,,,,,
,,230,New London,148829,102,,,,,,,,,
,,231,New Orleans,1078299,230,,,,,,,,,
