Table 1,,,,,
,,,Place,Population ,Land area
,,125,"Frederick, MD","58,393",31.9
,,126,"Fresno, CA","453,388",132.7
,,127,"Gadsden, AL","71,630",107.7
,,128,"Gainesville, FL","126,215",61.2
,,129,"Galveston, TX","58,263",30
,,130,"Gastonia, NC","113,637",89.5
,,131,"Glens Falls, NY","56,475",37.6
,,132,"Goldsboro, NC","60,230",50
,,133,"Grand Forks, ND--MN","58,103",18.9
,,134,"Grand Junction, CO","71,938",55.1
,,135,"Grand Rapids, MI","436,336",223.2
,,136,"Great Falls, MT","63,506",20.4
,,137,"Greeley, CO","71,578",26.8
,,138,"Green Bay, WI","161,931",100.1
,,139,"Greensboro, NC","194,508",92.2
,,140,"Greenville, SC","248,173",148.1
,,141,"Greenville,NC","55,884",28.3
,,142,"Hagerstown, MD--PA--WV","70,206",41.8
,,143,"Hamilton, OH","118,315",53.1
,,144,"Harlingen, TX","79,309",46.4
,,145,"Harrisburg, PA","292,904",149.8
,,146,"Hartford--Middletown, CT","546,198",241.3
,,147,"Hattiesburg, MS","59,757",50.7
,,148,"Hemet--San Jacinto, CA","90,929",43.6
,,149,"Hesperia--Apple Valley--Victorville, CA","153,176",140
,,150,"Hickory, NC","69,914",67.8
,,151,"High Point, NC","108,686",84.4
,,152,"Holland, MI","62,418",32.8
,,153,"Honolulu, HI","632,603",138.7
,,154,"Houma, LA","65,879",61.8
,,155,"Houston, TX","2,901,851","1,177.30"
,,156,"Huntington--Ashland, WV--KY--OH","169,594",86
,,157,"Huntsville, AL","180,315",132.4
,,158,"Hyannis, MA","66,713",73
,,159,"Idaho Falls, ID","56,356",21.3
,,160,"Indianapolis, IN","914,761",468.9
,,161,"Indio--Coachella, CA","56,038",27.9
,,162,"Iowa City, IA","71,372",30.3
,,163,"Ithaca, NY","50,132",25.3
,,164,"Jacksonville, FL","738,413",507.7
,,165,"Jacksonville, NC","101,297",72.1
,,166,"Jackson, MI","78,126",42.4
,,167,"Jackson, MS","289,285",216.9
,,168,"Jackson, TN","53,031",44.3
,,169,"Janesville, WI","52,995",24.1
,,170,"Johnson City, TN","82,382",72.4
,,171,"Johnstown, PA","77,841",36.1
,,172,"Joliet, IL","170,717",83.5
,,173,"Joplin, MO","60,208",53.5
,,174,"Kailua, HI","114,506",35
,,175,"Kalamazoo, MI","164,430",84.7
,,176,"Kankakee, IL","59,695",23.5
,,177,"Kannapolis, NC","78,177",66
,,178,"Kansas City, MO--KS","1,275,317",761.8
,,179,"Kenosha, WI","94,292",41.1
,,180,"Killeen, TX","137,876",66.2
,,181,"Kingsport, TN--VA","87,403",99.7
,,182,"Kissimmee, FL","55,419",24
,,183,"Knoxville, TN","304,466",218.8
,,184,"Kokomo, IN","57,146",22.5
,,185,"La Crosse, WI--MN","78,928",34.4
,,186,"Lafayette--West Lafayette, IN","100,103",31.7
,,187,"Lafayette, LA","129,592",70.7
,,188,"Lake Charles, LA","119,067",88.1
,,189,"Lakeland, FL","147,628",95.2
,,190,"Lancaster--Palmdale, CA","187,190",82.9
,,191,"Lancaster, PA","193,583",87.3
,,192,"Lansing--East Lansing, MI","265,095",98.7
,,193,"Laredo, TX","123,651",32.9
,,194,"Las Cruces, NM","81,471",56.9
,,195,"Las Vegas, NV","697,348",231.1
,,196,"Lawrence--Haverhill, MA--NH","237,362",110.4
,,197,"Lawrence, KS","65,755",23
,,198,"Lawton, OK","92,634",46.4
,,199,"Lewiston--Auburn, ME","71,598",83.7
,,200,"Lewisville, TX","79,433",69.1
,,201,"Lexington-Fayette, KY","220,701",98.1
,,202,"Lima, OH","68,621",34.6
,,203,"Lincoln, NE","192,558",64.4
,,204,"Little Rock--North Little Rock, AR","305,353",199.2
,,205,"Lodi, CA","55,590",15.4
,,206,"Logan, UT","50,401",31.3
,,207,"Lompoc, CA","56,591",40.8
,,208,"Longmont, CO","52,464",13.8
,,209,"Longview, TX","76,429",62.7
,,210,"Longview, WA--OR","57,123",35.6
,,211,"Lorain--Elyria, OH","224,087",147
,,212,"Los Angeles, CA","11,402,946","1,965.70"
,,213,"Louisville, KY--IN","754,956",282.6
,,214,"Lowell, MA--NH","181,651",67.1
,,215,"Lubbock, TX","187,906",108.6
,,216,"Lynchburg, VA","98,138",102.9
,,217,"Macon, GA","129,496",68.5
,,218,"Madison, WI","244,336",97.7
,,219,"Manchester, NH","114,918",46.9
,,220,"Mansfield, OH","76,521",52.7
,,221,"McAllen--Edinburg--Mission, TX","263,192",124.3
,,222,"Medford, OR","66,974",29.5
,,223,"Melbourne--Palm Bay, FL","305,978",233.2
,,224,"Memphis, TN--AR--MS","825,193",341
,,225,"Merced, CA","64,742",19.8
,,226,"Miami--Hialeah, FL","1,914,660",352.7
,,227,"Middletown, OH","98,822",66.7
,,228,"Midland, TX","91,999",68.8
,,229,"Milwaukee, WI","1,226,293",512
,,230,"Minneapolis--St. Paul, MN","2,079,676","1,063.00"
,,231,"Missoula, MT","57,196",28.3
,,232,"Mobile, AL","300,912",228.9
,,233,"Modesto, CA","230,609",52.1
,,234,"Monessen, PA","65,072",46
,,235,"Monroe, LA","110,737",77.6
,,236,"Montgomery, AL","210,007",156.4
,,237,"Muncie, IN","88,073",38.2
,,238,"Muskegon, MI","106,252",61.8
,,239,"Myrtle Beach, SC","58,384",49.5
,,240,"Napa, CA","68,049",21
,,241,"Naples, FL","94,344",56.9
,,242,"Nashua, NH","96,791",43.5
,,243,"Nashville, TN","573,294",483.5
,,244,"New Bedford, MA","139,082",42
,,245,"New Britain, CT","143,064",54
,,246,"New Haven--Meriden, CT","451,486",187.7
,,247,"New London--Norwich, CT","156,286",109.6
,,248,"New Orleans, LA","1,040,226",270.1
,,249,"New York, NY--Northeastern New Jersey","16,044,012","2,966.40"
,,250,"Newark, OH","54,063",28.8
,,251,"Newburgh, NY","71,584",44.1
,,252,"Newport, RI","53,481",22.7
,,253,"Norfolk--Virginia Beach--Newport News, VA","1,323,098",663.7
,,254,"Norwalk, CT","108,888",49.2
,,255,"Ocala, FL","68,004",48.3
,,256,"Odessa, TX","113,672",114.1
,,257,"Ogden, UT","259,147",152.9
,,258,"Oklahoma City, OK","784,425",646.8
,,259,"Olympia, WA","95,471",55.4
,,260,"Omaha, NE--IA","544,292",193
,,261,"Orlando, FL","887,126",394.6
,,262,"Oshkosh, WI","58,935",21.3
,,263,"Owensboro, KY","60,645",22.4
,,264,"Oxnard--Ventura, CA","480,482",157.1
,,265,"Palm Springs, CA","129,025",89.7
,,266,"Panama City, FL","103,667",76.5
,,267,"Parkersburg, WV--OH","58,683",25.1
,,268,"Pascagoula, MS","59,386",53.2
,,269,"Pensacola, FL","253,558",155.3
,,270,"Peoria, IL","242,353",129.1
,,271,"Petersburg, VA","103,526",66.8
,,272,"Philadelphia, PA--NJ","4,222,211","1,164.20"
,,273,"Phoenix, AZ","2,006,239",741.1
,,274,"Pine Bluff, AR","61,941",48.6
,,275,"Pittsburgh, PA","1,678,745",778.1
,,276,"Pittsfield, MA","55,047",46
,,277,"Pocatello, ID","53,903",31
,,278,"Port Arthur, TX","109,560",78.7
,,279,"Port Huron, MI","62,774",29.3
,,280,"Portland--Vancouver, OR--WA","1,172,158",388
,,281,"Portland, ME","120,220",73.5
,,282,"Portsmouth--Dover--Rochester, NH--ME","114,960",125.1
,,283,"Pottstown, PA","53,371",27.4
,,284,"Poughkeepsie, NY","148,527",89.1
,,285,"Providence--Pawtucket, RI--MA","846,293",298.7
,,286,"Provo--Orem, UT","220,556",99.6
,,287,"Pueblo, CO","106,155",45.8
,,288,"Punta Gorda, FL","67,033",48.1
,,289,"Racine, WI","121,788",38.8
,,290,"Raleigh, NC","305,925",176
,,291,"Rapid City, SD","61,124",46.7
,,292,"Reading, PA","186,267",59.8
