Table 1,,,,,,
UACE,NAME,POP,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI
3223,"Artesia, NM","14,149","17,739,520",6.85,"16,866",0.01
3250,"Arvin, CA","19,385","6,073,680",2.35,0.00,0.00
3262,"Asbury Lake--Middleburg, FL","23,649","59,576,581",23.00,"700,279",0.27
3277,"Ashburn, GA","4,738","10,999,818",4.25,"108,350",0.04
3331,"Asheboro, NC","37,523","71,019,749",27.42,"315,965",0.12
3358,"Asheville, NC","285,776","643,832,055",248.58,"4,932,387",1.90
3385,"Ashland, OH","19,206","25,515,681",9.85,"92,994",0.04
3395,"Ashland, PA","4,249","3,674,775",1.42,0.00,0.00
3412,"Ashland, WI","7,225","10,936,251",4.22,"2,466",0.00
3466,"Ashtabula, OH","27,421","56,175,650",21.69,"467,129",0.18
3493,"Ashville, OH","6,670","9,860,526",3.81,0.00,0.00
3520,"Aspen, CO","7,674","13,498,106",5.21,0.00,0.00
3547,"Astoria, OR","15,825","25,041,475",9.67,"335,804",0.13
3601,"Atchison, KS","10,907","13,947,856",5.39,"115,035",0.04
3655,"Athens, AL","23,204","52,039,316",20.09,"299,071",0.12
3682,"Athens, OH","27,355","24,482,022",9.45,"373,562",0.14
3709,"Athens, TN","15,724","40,074,162",15.47,297,0.00
3736,"Athens, TX","12,050","24,138,742",9.32,"64,685",0.02
3763,"Athens-Clarke County, GA","143,213","237,882,105",91.85,"2,426,867",0.94
3790,"Athol, MA","13,557","27,482,042",10.61,"1,195,269",0.46
3817,"Atlanta, GA","5,100,112","6,612,376,890","2,553.05","99,716,580",38.50
3844,"Atlanta, TX","5,531","17,636,485",6.81,"99,001",0.04
3871,"Atlantic, IA","6,608","11,633,452",4.49,"113,854",0.04
3904,"Atlantic City--Ocean City--Villas, NJ","294,921","421,843,599",162.87,"10,633,955",4.11
3925,"Atmore, AL","6,390","13,219,601",5.10,"52,468",0.02
3957,"Atoka, TN","13,056","25,705,273",9.92,"72,575",0.03
4021,"Aubrey, TX","5,116","7,097,052",2.74,"11,230",0.00
4033,"Auburn, AL","100,842","158,393,499",61.16,"1,472,748",0.57
4060,"Auburn, IN","20,346","25,597,810",9.88,0.00,0.00
4114,"Auburn, NY","31,433","34,030,890",13.14,"211,524",0.08
4130,"Auburn, CA","31,371","44,648,435",17.24,"22,143",0.01
4146,"Au Gres, MI","1,869","10,264,539",3.96,"168,489",0.07
4168,"Augusta, KS","9,231","9,624,503",3.72,"695,128",0.27
4195,"Augusta, ME","24,005","56,766,242",21.92,"1,871,378",0.72
4222,"Augusta-Richmond County, GA--SC","431,480","707,822,587",273.29,"5,760,420",2.22
4276,"Aurora, MO","7,466","13,670,605",5.28,"40,800",0.02
4357,"Austin, MN","25,479","26,021,766",10.05,"254,097",0.10
4384,"Austin, TX","1,809,888","1,604,809,936",619.62,"12,678,276",4.90
4438,"Avalon, CA","3,362","3,080,708",1.19,0.00,0.00
4465,"Avenal, CA","13,304","9,397,889",3.63,0.00,0.00
4587,"Aztec, NM","7,301","17,566,785",6.78,"264,792",0.10
4627,"Bainbridge, GA","13,857","27,649,585",10.68,"614,197",0.24
4654,"Baker City, OR","9,768","11,601,573",4.48,0.00,0.00
4681,"Bakersfield, CA","570,235","342,190,994",132.12,"2,545,322",0.98
4843,"Baltimore, MD","2,212,038","1,696,273,764",654.93,"55,784,905",21.54
4924,"Bandon, OR","4,104","12,605,488",4.87,"41,944",0.02
4951,"Bangor, ME","61,539","132,390,040",51.12,"4,822,906",1.86
5005,"Baraboo, WI","14,201","17,518,061",6.76,"214,011",0.08
5032,"Barbourville, KY","5,998","13,718,477",5.30,"73,476",0.03
5040,"Barceloneta--Florida--Bajadero, PR","65,070","108,004,676",41.70,"73,429",0.03
5059,"Bardstown, KY","17,682","34,627,012",13.37,"272,635",0.11
5113,"Barnesville, GA","6,825","15,058,636",5.81,"109,101",0.04
5167,"Barnstable Town, MA","303,269","883,909,133",341.28,"90,287,592",34.86
