Table 1,,,,,,
UACE,NAME,POP,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI
14050,"Carrollton, KY","5,471","9,107,568",3.52,"61,320",0.02
14158,"Carson City, NV","61,629","67,818,880",26.19,"169,053",0.07
14185,"Cartersville, GA","52,351","115,053,727",44.42,"91,238",0.04
14266,"Carthage, MO","16,260","22,231,408",8.58,0.00,0.00
14293,"Carthage, NY","5,160","6,419,965",2.48,"2,451",0.00
14347,"Carthage, TX","6,328","19,322,282",7.46,"15,541",0.01
14374,"Caruthersville, MO","5,319","8,416,322",3.25,"2,773",0.00
14401,"Casa Grande, AZ","50,981","55,593,619",21.46,0.00,0.00
14482,"Casper, WY","67,751","72,204,393",27.88,"858,175",0.33
14563,"Castle Rock, CO","85,350","92,478,222",35.71,"15,254",0.01
14600,"Castroville--Prunedale, CA","12,334","8,754,100",3.38,"222,990",0.09
14644,"Catskill, NY","7,012","16,633,988",6.42,"225,648",0.09
14698,"Cedar City, UT","40,899","47,391,148",18.30,0.00,0.00
14752,"Cedar Rapids, IA","192,844","222,816,547",86.03,"2,436,556",0.94
14806,"Cedartown, GA","12,833","24,785,042",9.57,"75,977",0.03
14860,"Celina, OH","12,035","15,764,453",6.09,"181,760",0.07
14887,"Center, TX","5,123","17,564,522",6.78,"18,192",0.01
14914,"Centerville, IA","5,269","9,012,668",3.48,"69,284",0.03
14960,"Central City, KY","5,767","11,082,153",4.28,"9,017",0.00
15022,"Centralia, IL","15,301","25,414,515",9.81,"60,073",0.02
15076,"Centralia, WA","42,338","78,706,156",30.39,"809,598",0.31
15130,"Chadron, NE","4,930","5,969,800",2.30,0.00,0.00
15184,"Chambersburg, PA","50,094","89,808,865",34.68,"24,541",0.01
15211,"Champaign, IL","147,452","120,497,761",46.52,"975,880",0.38
15265,"Chanute, KS","8,710","15,017,907",5.80,"27,515",0.01
15300,"Chapin, SC","5,701","16,377,654",6.32,"26,954",0.01
15319,"Chardon, OH","6,454","13,530,825",5.22,"49,967",0.02
15373,"Charles City, IA","7,255","10,575,577",4.08,"179,033",0.07
15400,"Charleston, IL","17,415","20,079,870",7.75,735,0.00
15481,"Charleston, WV","140,958","240,667,742",92.92,"20,628,176",7.96
15508,"Charleston, SC","684,773","878,170,419",339.06,"18,026,428",6.96
15535,"Charlestown, IN","6,696","10,428,023",4.03,"37,520",0.01
15589,"Charlestown, RI","4,348","16,371,972",6.32,"3,289,121",1.27
15616,"Charlevoix, MI","3,777","10,479,037",4.05,"319,731",0.12
15643,"Charlotte, MI","13,026","21,856,825",8.44,"443,339",0.17
15670,"Charlotte, NC--SC","1,379,873","1,703,212,422",657.61,"26,670,624",10.30
15697,"Charlotte Amalie, VI","41,534","60,996,780",23.55,"436,682",0.17
15724,"Charlottesville, VA","104,191","95,500,538",36.87,"767,733",0.30
15778,"Chatsworth, GA","12,808","41,731,470",16.11,"24,409",0.01
15832,"Chattanooga, TN--GA","398,569","755,506,593",291.70,"5,838,212",2.25
15859,"Cheboygan, MI","5,142","15,612,124",6.03,"194,614",0.08
15913,"Chelan, WA","6,380","19,534,139",7.54,"113,252",0.04
15940,"Chelsea, MI","5,851","9,187,596",3.55,"133,352",0.05
15967,"Cheney, WA","13,176","8,540,977",3.30,0.00,0.00
15994,"Cheraw, SC","7,480","19,040,160",7.35,"126,066",0.05
16021,"Cherokee, IA","4,705","8,127,606",3.14,0.00,0.00
16075,"Cherryville, NC","6,747","15,996,520",6.18,"32,069",0.01
16102,"Chesapeake Beach, MD","16,926","33,904,713",13.09,"419,304",0.16
16156,"Chester, IL","6,338","10,260,912",3.96,"31,757",0.01
16171,"Chester, NY","5,900","11,842,062",4.57,"19,894",0.01
16183,"Chester, SC","8,611","16,293,135",6.29,"26,285",0.01
16210,"Chestertown, MD","7,392","11,448,080",4.42,"55,789",0.02
16237,"Cheyenne, WY","79,250","87,734,808",33.87,"226,823",0.09
16264,"Chicago, IL--IN","8,671,746","6,055,094,918","2,337.89","100,880,782",38.95
16291,"Chickasha, OK","15,253","25,251,263",9.75,"123,501",0.05
16318,"Chico, CA","111,411","87,321,741",33.72,"145,207",0.06
16372,"Childress, TX","4,516","8,345,931",3.22,"35,605",0.01
16426,"Chillicothe, MO","9,122","15,490,725",5.98,"68,820",0.03
16453,"Chillicothe, OH","31,727","42,460,464",16.39,"388,799",0.15
16507,"Chincoteague, VA","3,223","10,513,333",4.06,"330,156",0.13
16561,"Chino Valley, AZ","13,317","35,536,452",13.72,0.00,0.00
16615,"Chisholm, MN","4,586","5,652,033",2.18,"69,307",0.03
16642,"Chittenango, NY","5,054","5,601,150",2.16,"4,283",0.00
16696,"Chowchilla, CA","13,196","12,497,893",4.83,"119,504",0.05
16750,"Christiansted--Frederiksted, VI","38,372","89,028,187",34.37,"179,432",0.07
16804,"Ciales, PR","13,098","29,983,903",11.58,"34,746",0.01
16830,"Cienega Springs, AZ","2,041","8,288,459",3.20,0.00,0.00
16885,"Cincinnati, OH--KY","1,686,744","1,948,383,614",752.28,"22,192,733",8.57
16912,"Circleville, OH","15,679","19,103,474",7.38,"21,920",0.01
17047,"Clanton, AL","6,423","23,460,292",9.06,"141,751",0.05
17101,"Claremont, NH","9,415","15,494,240",5.98,"50,767",0.02
17128,"Claremore, OK","25,415","39,966,157",15.43,"2,253",0.00
17155,"Clarinda, IA","5,213","6,107,154",2.36,0.00,0.00
17209,"Clarion, PA","5,662","8,735,866",3.37,"41,518",0.02
17236,"Clarksburg, WV","32,882","54,960,546",21.22,"180,510",0.07
17263,"Clarksdale, MS","14,408","19,203,935",7.41,"16,607",0.01
17290,"Clarksville, AR","7,816","20,183,782",7.79,"117,983",0.05
17317,"Clarksville, TN--KY","200,947","292,896,076",113.09,"154,654",0.06
17398,"Clay Center, KS","4,131","6,516,012",2.52,"4,528",0.00
17424,"Clayton, NY","2,092","7,113,748",2.75,"1,317,860",0.51
17426,"Clayton, NC","51,898","93,917,530",36.26,"415,456",0.16
17452,"Clearfield, PA","10,524","18,320,614",7.07,"293,357",0.11
17479,"Clearlake, CA","17,351","21,064,685",8.13,"175,621",0.07
17506,"Clear Lake, IA","8,406","22,335,760",8.62,"74,704",0.03
17514,"Clearlake Riviera, CA","5,461","17,417,930",6.73,"106,635",0.04
17533,"Cleburne, TX","43,901","63,482,287",24.51,"339,995",0.13
17560,"Cle Elum, WA","3,846","11,724,827",4.53,0.00,0.00
17641,"Cleveland, MS","14,346","21,322,849",8.23,0.00,0.00
17668,"Cleveland, OH","1,712,178","1,848,754,208",713.81,"11,928,286",4.61
17722,"Cleveland, TN","73,918","142,381,752",54.97,"113,225",0.04
17749,"Cleveland, TX","7,469","11,761,157",4.54,0.00,0.00
17776,"Clewiston, FL","12,849","14,371,136",5.55,"389,366",0.15
17857,"Clifton Forge, VA","5,127","11,648,596",4.50,"229,031",0.09
17870,"Clifton Springs, NY","6,383","10,873,942",4.20,0.00,0.00
17884,"Clinton, IL","7,323","9,441,802",3.65,0.00,0.00
17911,"Clinton, IN","6,484","8,117,234",3.13,0.00,0.00
17938,"Clinton--Fulton, IA--IL","31,126","49,494,357",19.11,"3,310,977",1.28
17965,"Clinton, MO","8,866","15,674,034",6.05,"186,454",0.07
17980,"Clinton, NJ","16,136","27,103,941",10.46,"253,207",0.10
17992,"Clinton, NC","9,315","23,542,991",9.09,"145,681",0.06
18019,"Clinton, OK","8,022","11,245,863",4.34,0.00,0.00
18046,"Clinton, SC","9,143","21,917,816",8.46,"40,622",0.02
18100,"Clintonville, WI","4,530","6,919,219",2.67,"243,569",0.09
18127,"Cloquet, MN","13,213","24,419,597",9.43,"504,537",0.19
18154,"Clover, SC","7,526","13,432,092",5.19,"29,347",0.01
18181,"Cloverdale, CA","9,451","8,734,589",3.37,0.00,0.00
18208,"Clovis, NM","39,314","41,604,534",16.06,"173,032",0.07
18235,"Clyde, OH","6,549","12,420,848",4.80,"133,708",0.05
18270,"Coal City--Braidwood, IL","15,837","26,645,355",10.29,"500,703",0.19
18289,"Coalinga, CA","13,049","11,039,196",4.26,"21,696",0.01
18316,"Coamo, PR","30,344","42,116,009",16.26,"28,672",0.01
18343,"Cobleskill, NY","5,040","11,215,264",4.33,"9,387",0.00
18370,"Cochran, GA","6,159","14,124,158",5.45,"293,649",0.11
18397,"Cody, WY","9,999","17,893,067",6.91,"29,888",0.01
18451,"Coeur d'Alene, ID","121,831","121,096,977",46.76,"2,005,943",0.77
18478,"Coffeyville, KS--OK","9,391","19,269,785",7.44,0.00,0.00
18532,"Colby, KS","5,467","7,676,835",2.96,0.00,0.00
18559,"Colchester, CT","5,512","13,053,761",5.04,"33,988",0.01
18586,"Cold Spring, MN","5,099","8,316,484",3.21,0.00,0.00
18640,"Cold Springs, NV","9,686","8,984,732",3.47,0.00,0.00
18667,"Coldwater, MI","13,721","27,708,953",10.70,"772,412",0.30
18694,"Coleman, TX","3,599","7,221,414",2.79,0.00,0.00
18748,"College Station--Bryan, TX","206,137","211,410,239",81.63,"179,498",0.07
18755,"Collins, NY","5,448","6,054,287",2.34,"41,064",0.02
18760,"Collinsville, OK","4,706","8,891,071",3.43,"46,681",0.02
18775,"Colonial Beach, VA","3,975","4,478,990",1.73,"28,648",0.01
18829,"Colorado City, TX","5,839","7,212,210",2.78,0.00,0.00
18856,"Colorado Springs, CO","632,494","518,938,356",200.36,"1,049,396",0.41
18883,"Columbia, KY","5,018","8,760,295",3.38,"99,489",0.04
18910,"Columbia, MS","6,236","16,311,106",6.30,"62,292",0.02
18937,"Columbia, MO","141,831","174,042,803",67.20,"710,720",0.27
18964,"Columbia, SC","590,407","951,809,584",367.50,"18,239,231",7.04
18991,"Columbia, TN","42,423","78,076,538",30.15,"25,459",0.01
19018,"Columbia City, IN","10,256","15,631,799",6.04,"48,844",0.02
19045,"Columbia Falls, MT","6,589","11,008,998",4.25,"2,697",0.00
19072,"Columbiana, OH","9,160","18,081,221",6.98,"182,403",0.07
19099,"Columbus, GA--AL","267,746","369,997,871",142.86,"2,247,227",0.87
19126,"Columbus, IN","60,982","72,160,366",27.86,"838,584",0.32
19180,"Columbus, MS","26,895","52,011,870",20.08,"723,768",0.28
19207,"Columbus, NE","24,838","34,920,337",13.48,"558,476",0.22
19234,"Columbus, OH","1,567,254","1,336,848,856",516.16,"20,362,512",7.86
19288,"Columbus, WI","6,977","10,566,473",4.08,"92,621",0.04
19342,"Colusa, CA","6,955","7,679,682",2.97,0.00,0.00
19369,"Colville, WA","5,058","8,356,417",3.23,0.00,0.00
19450,"Commerce, GA","7,688","26,764,385",10.33,"92,059",0.04
19477,"Commerce, TX","8,320","8,656,431",3.34,"56,945",0.02
19504,"Concord--Walnut Creek, CA","538,583","455,224,735",175.76,"1,690,188",0.65
19531,"Concord, NH","42,549","69,017,412",26.65,"2,021,718",0.78
19558,"Concord, NC","278,612","518,146,261",200.06,"1,327,468",0.51
19585,"Concordia, KS","5,031","8,093,559",3.12,0.00,0.00
19597,"Conesus Lake, NY","4,867","12,397,369",4.79,"13,079,331",5.05
19612,"Conneaut, OH","12,072","21,440,403",8.28,"43,079",0.02
19639,"Conneaut Lakeshore, PA","2,846","9,758,926",3.77,"3,850,135",1.49
19666,"Connell, WA","5,437","5,636,806",2.18,0.00,0.00
19686,"Connellsville, PA","30,777","53,360,867",20.60,"174,664",0.07
19693,"Connersville, IN","14,401","19,300,654",7.45,"39,566",0.02
19801,"Conway, AR","66,619","85,159,076",32.88,"719,123",0.28
19811,"Conway, NH","5,272","22,685,214",8.76,"754,532",0.29
19828,"Cookeville, TN","49,089","117,742,211",45.46,"244,853",0.09
19862,"Coolbaugh--Pocono Pines, PA","24,893","51,130,883",19.74,"2,208,636",0.85
19882,"Coolidge, AZ","12,008","10,720,219",4.14,"19,717",0.01
19936,"Coos Bay, OR","31,688","37,884,070",14.63,"2,389,237",0.92
19970,"Coquí--Jobos, PR","11,725","11,507,372",4.44,"13,840",0.01
19990,"Coquille, OR","4,373","8,894,922",3.43,"296,360",0.11
20044,"Corcoran, CA","22,377","16,284,138",6.29,0.00,0.00
20071,"Cordele, GA","10,931","22,269,842",8.60,"71,998",0.03
20098,"Corinth, MS","12,464","33,152,371",12.80,"38,239",0.01
20125,"Corinth, NY","3,870","7,666,472",2.96,"415,864",0.16
20152,"Cornelia--Baldwin, GA","19,489","50,675,336",19.57,"246,570",0.10
20206,"Corning, CA","8,459","7,891,219",3.05,0.00,0.00
20233,"Corning, NY","19,541","27,919,163",10.78,"536,596",0.21
20247,"Corona de Tucson, AZ","7,866","8,889,233",3.43,0.00,0.00
20287,"Corpus Christi, TX","339,066","334,817,107",129.27,"3,706,849",1.43
20314,"Corry, PA","6,224","10,778,353",4.16,"3,552",0.00
20341,"Corsicana, TX","24,380","40,202,339",15.52,"346,526",0.13
20368,"Cortez, CO","8,628","11,001,477",4.25,"70,393",0.03
20395,"Cortland, NY","24,866","26,789,698",10.34,"121,157",0.05
20422,"Corvallis, OR","66,791","45,203,631",17.45,"121,295",0.05
20442,"Corydon, IN","5,696","9,294,847",3.59,0.00,0.00
20476,"Coshocton, OH","12,334","20,227,058",7.81,"155,354",0.06
20503,"Cottage Grove, OR","11,826","13,593,000",5.25,"177,162",0.07
20595,"Cottonwood (Yavapai County)--Verde Village, AZ","29,121","43,787,055",16.91,0.00,0.00
20719,"Covington, TN","7,320","15,533,524",6.00,0.00,0.00
20746,"Covington, VA","7,745","18,976,990",7.33,"595,459",0.23
20773,"Coxsackie, NY","5,384","9,745,358",3.76,"37,258",0.01
20827,"Craig, CO","9,650","14,247,448",5.50,0.00,0.00
20881,"Crawfordsville, IN","17,863","25,306,177",9.77,"77,556",0.03
20890,"Crawfordville, FL","10,124","25,172,054",9.72,0.00,0.00
20899,"Creedmoor, NC","7,482","17,587,508",6.79,"84,991",0.03
20908,"Crescent City, CA","15,620","42,311,248",16.34,"226,006",0.09
20980,"Cresson, PA","6,512","10,052,866",3.88,0.00,0.00
20985,"Crestline, OH","4,597","8,238,992",3.18,"13,768",0.01
20989,"Crestline--Lake Arrowhead, CA","22,272","43,643,846",16.85,"3,478,474",1.34
21016,"Creston, IA","7,507","11,693,544",4.51,"4,916",0.00
21043,"Crestview, FL","46,816","103,195,003",39.84,"1,796,281",0.69
21070,"Creswell, OR","6,137","6,328,496",2.44,"42,826",0.02
21097,"Crete, NE","6,959","6,741,838",2.60,"80,171",0.03
21151,"Crisfield, MD","3,509","6,963,110",2.69,"396,409",0.15
21205,"Crockett, TX","5,935","16,989,948",6.56,0.00,0.00
21232,"Crookston, MN","7,618","12,039,712",4.65,0.00,0.00
21340,"Crossett, AR","7,184","23,335,570",9.01,"470,878",0.18
21394,"Crossville, TN","19,949","69,413,715",26.80,"3,012,365",1.16
21421,"Crowley, LA","13,168","18,349,470",7.08,"17,630",0.01
21448,"Crozet, VA","9,378","11,622,504",4.49,"68,900",0.03
21475,"Cruz Bay, VI","2,964","8,045,975",3.11,"45,755",0.02
21502,"Crystal City, TX","6,709","9,172,766",3.54,"11,147",0.00
21529,"Crystal River, FL","7,834","36,480,222",14.09,"2,979,925",1.15
21556,"Crystal Springs, MS","5,057","10,245,447",3.96,"25,197",0.01
21610,"Cuero, TX","7,619","11,304,553",4.36,"45,653",0.02
21637,"Cullman, AL","21,165","55,661,380",21.49,"455,574",0.18
21664,"Cullowhee, NC","9,134","15,791,969",6.10,0.00,0.00
21691,"Culpeper, VA","22,563","24,269,595",9.37,"64,317",0.02
21745,"Cumberland, MD--WV--PA","46,296","82,089,280",31.69,"680,362",0.26
21772,"Cushing, OK","6,595","24,117,087",9.31,"30,090",0.01
21853,"Cynthiana, KY","6,393","7,740,229",2.99,"143,012",0.06
21893,"Dade City, FL","20,304","37,288,780",14.40,"973,310",0.38
21934,"Dahlonega, GA","6,508","8,151,821",3.15,249,0.00
21988,"Dalhart, TX","8,352","9,061,417",3.50,"4,719",0.00
22015,"Dallas, OR","17,625","14,233,477",5.50,0.00,0.00
22042,"Dallas--Fort Worth--Arlington, TX","5,732,354","4,524,441,010","1,746.90","64,147,875",24.77
22069,"Dalton, GA","67,830","148,895,536",57.49,"200,226",0.08
22096,"Danbury, CT--NY","171,680","306,884,173",118.49,"15,585,535",6.02
22177,"Dansville, NY","4,806","8,275,503",3.20,0.00,0.00
22204,"Danville, IL","40,044","71,985,501",27.79,"2,231,770",0.86
22231,"Danville, KY","19,814","35,260,301",13.61,"135,784",0.05
22253,"Danville, VA--NC","46,683","94,048,065",36.31,"1,443,948",0.56
22260,"Danville--Mahoning, PA","9,771","13,499,941",5.21,"44,129",0.02
22366,"Davenport, IA--IL","285,211","349,283,232",134.86,"19,693,324",7.60
22420,"Davis, CA","77,034","31,500,260",12.16,"90,331",0.03
22528,"Dayton, OH","674,046","828,517,063",319.89,"6,799,497",2.63
22555,"Dayton, TN","9,688","23,619,178",9.12,"613,490",0.24
22582,"Dayton, TX","6,879","14,002,995",5.41,0.00,0.00
22612,"Daytona Beach--Palm Coast--Port Orange, FL","402,126","550,006,605",212.36,"31,608,090",12.20
22616,"Dayton Northeast, NV","6,248","9,942,625",3.84,0.00,0.00
22622,"Dayton Southwest, NV","7,547","11,650,600",4.50,"3,839",0.00
22690,"Decatur, AL","60,458","112,586,219",43.47,"1,051,392",0.41
22717,"Decatur, IL","86,287","142,726,115",55.11,"7,596,199",2.93
22744,"Decatur, IN","10,441","16,986,883",6.56,"16,644",0.01
22771,"Decatur, TX","6,486","16,051,644",6.20,0.00,0.00
22798,"Decorah, IA","7,993","13,456,481",5.20,"111,964",0.04
22811,"Dededo--Apotgan--Tamuning, GU","128,164","142,866,110",55.16,0.00,0.00
22879,"Defiance, OH","17,775","32,034,755",12.37,"1,386,916",0.54
22933,"DeFuniak Springs, FL","6,977","18,569,808",7.17,"691,086",0.27
22960,"DeKalb, IL","64,736","66,387,396",25.63,"626,929",0.24
22987,"Delano, CA","44,410","19,076,298",7.37,0.00,0.00
22995,"Delano, MN","6,178","8,010,938",3.09,0.00,0.00
23041,"Delavan, WI","12,354","23,555,903",9.09,"7,135,101",2.75
23080,"Delhi, CA","10,274","6,061,316",2.34,0.00,0.00
23176,"Delphos, OH","7,266","8,901,554",3.44,"73,578",0.03
23203,"Del Rio, TX","42,680","48,712,813",18.81,"215,425",0.08
23230,"Delta, CO","8,190","16,126,572",6.23,"129,608",0.05
23311,"Deltona, FL","210,712","282,265,175",108.98,"12,579,177",4.86
23338,"Deming, NM","14,913","21,230,088",8.20,0.00,0.00
23365,"Demopolis, AL","6,227","11,781,694",4.55,"82,368",0.03
23419,"Denison, IA","8,142","11,637,914",4.49,"23,959",0.01
23473,"Denton, MD","5,009","8,458,496",3.27,"92,599",0.04
23500,"Denton--Lewisville, TX","429,461","389,741,508",150.48,"4,912,786",1.90
23513,"Denton Southwest, TX","14,105","18,291,464",7.06,"64,122",0.02
23527,"Denver--Aurora, CO","2,686,147","1,669,352,291",644.54,"29,334,833",11.33
23608,"De Queen, AR","5,894","12,462,732",4.81,"50,899",0.02
23662,"DeRidder, LA","12,126","37,627,641",14.53,"224,195",0.09
23716,"Desert Hot Springs, CA","45,767","36,465,259",14.08,0.00,0.00
23743,"Des Moines, IA","542,486","582,080,584",224.74,"7,226,317",2.79
23797,"De Soto, MO","7,649","11,394,754",4.40,"363,295",0.14
23824,"Detroit, MI","3,776,890","3,327,686,104","1,284.83","87,241,053",33.68
23851,"Detroit Lakes, MN","10,234","23,834,267",9.20,"25,717,335",9.93
23878,"Devils Lake, ND","7,493","13,136,265",5.07,"14,898",0.01
23986,"DeWitt, IA","5,162","10,370,231",4.00,0.00,0.00
24008,"Dexter, MI","5,285","6,459,898",2.49,"3,796",0.00
24013,"Dexter, MO","9,635","20,056,904",7.74,"243,643",0.09
24040,"Diamondhead, MS","9,044","13,122,331",5.07,"224,519",0.09
24094,"Dickinson, ND","25,674","31,747,884",12.26,"199,866",0.08
24121,"Dickson, TN","16,543","42,607,380",16.45,"163,237",0.06
24175,"Dillon, MT","4,429","7,115,148",2.75,0.00,0.00
24202,"Dillon, SC","8,484","16,395,248",6.33,"111,569",0.04
24256,"Discovery Bay, CA","15,939","10,883,779",4.20,"2,879,325",1.11
24283,"Dixon, CA","18,876","11,382,169",4.39,"6,653",0.00
24310,"Dixon, IL","15,987","20,246,217",7.82,"996,920",0.38
24337,"Dodge City, KS","27,702","28,277,230",10.92,"332,221",0.13
24364,"Dodgeville, WI","4,898","8,430,135",3.25,0.00,0.00
24391,"Donaldsonville, LA","12,461","40,529,779",15.65,"1,506,152",0.58
24445,"Dos Palos, CA","7,721","5,938,663",2.29,0.00,0.00
24472,"Dothan, AL","72,423","142,674,706",55.09,"387,556",0.15
24499,"Douglas, AZ","16,582","14,195,977",5.48,0.00,0.00
24526,"Douglas, GA","14,258","42,977,840",16.59,"537,942",0.21
24539,"Douglas, MI","3,259","10,961,033",4.23,"1,401,554",0.54
24553,"Douglas, WY","6,498","8,493,607",3.28,0.00,0.00
24580,"Dover, DE","123,101","187,266,900",72.30,"2,683,061",1.04
24607,"Dover--Rochester, NH--ME","72,391","135,487,667",52.31,"2,690,766",1.04
24634,"Dowagiac, MI","5,896","9,212,192",3.56,"121,550",0.05
24715,"Dublin, GA","20,842","52,916,176",20.43,"425,312",0.16
24796,"DuBois, PA","11,656","18,542,455",7.16,"143,022",0.06
24823,"Dubuque, IA--IL","70,332","88,492,622",34.17,"227,949",0.09
24850,"Duluth, MN--WI","119,411","173,182,698",66.87,"12,812,572",4.95
24877,"Dumas, AR","4,308","8,046,385",3.11,0.00,0.00
24904,"Dumas, TX","14,639","12,787,571",4.94,0.00,0.00
24931,"Duncan, OK","20,353","35,251,156",13.61,"166,641",0.06
24958,"Dundee, MI","5,252","10,104,534",3.90,"95,995",0.04
25012,"Dunkirk--Fredonia, NY","23,410","33,031,000",12.75,"117,554",0.05
25039,"Dunn, NC","13,707","28,778,425",11.11,"136,962",0.05
25093,"Du Quoin, IL","5,933","10,516,647",4.06,"53,516",0.02
25120,"Durand, MI","5,056","9,790,978",3.78,"123,539",0.05
25147,"Durango, CO","19,114","24,477,902",9.45,"85,392",0.03
25201,"Durant, OK","19,324","31,095,467",12.01,"41,673",0.02
25216,"Durham, NH","12,117","10,453,067",4.04,"63,609",0.02
25228,"Durham, NC","396,118","474,887,900",183.36,"3,384,320",1.31
25237,"Duvall, WA","8,165","6,406,787",2.47,"3,707",0.00
25309,"Dyersburg, TN","16,790","33,607,141",12.98,"227,443",0.09
25390,"Eagle, CO","7,419","8,821,345",3.41,"45,496",0.02
25480,"Eagle Mountain, UT","10,269","5,234,338",2.02,0.00,0.00
25498,"Eagle Pass, TX","54,083","54,765,192",21.14,"364,285",0.14
25579,"Earlimart, CA","7,470","3,496,392",1.35,0.00,0.00
25598,"East Aurora, NY","8,765","15,070,063",5.82,"43,792",0.02
25658,"East Hampton North--Springs--Northwest Harbor, NY","21,812","92,856,914",35.85,"5,870,108",2.27
25687,"East Liverpool, OH--WV--PA","21,126","40,213,217",15.53,"1,629,926",0.63
25714,"Eastman, GA","6,220","15,441,436",5.96,"185,369",0.07
25741,"Easton, MD","18,033","28,877,915",11.15,"343,472",0.13
25768,"East Palestine, OH","4,634","7,528,284",2.91,0.00,0.00
25849,"East Stroudsburg--Stroudsburg, PA","47,891","100,846,909",38.94,"815,695",0.31
25876,"East Tawas, MI","4,844","12,962,372",5.00,0.00,0.00
25903,"East Troy, WI","5,309","10,726,094",4.14,"1,653,078",0.64
25930,"Eaton, CO","5,823","5,595,173",2.16,0.00,0.00
25957,"Eaton, OH","8,067","11,638,626",4.49,"1,810",0.00
25984,"Eaton Rapids, MI","5,076","7,263,886",2.80,"143,061",0.06
26038,"Eau Claire, WI","105,475","161,862,928",62.50,"10,233,969",3.95
26065,"Ebensburg, PA","4,880","6,706,721",2.59,"31,708",0.01
26092,"Eden, NC","16,323","36,869,368",14.24,"42,294",0.02
26119,"Edenton, NC","4,329","9,287,029",3.59,"178,962",0.07
26173,"Edgerton, WI","8,360","16,032,838",6.19,"495,146",0.19
26227,"Edinboro, PA","5,730","6,312,077",2.44,"194,847",0.08
26254,"Edna, TX","5,910","9,569,304",3.69,0.00,0.00
26275,"Edwards--Avon, CO","16,518","30,052,310",11.60,"584,367",0.23
26308,"Effingham, IL","13,990","35,160,390",13.58,"75,129",0.03
26362,"Elberton, GA","5,700","13,004,624",5.02,"70,348",0.03
26375,"Elburn, IL","6,395","9,232,591",3.56,0.00,0.00
26389,"El Campo, TX","13,286","20,274,190",7.83,"19,527",0.01
26405,"El Centro, CA","74,376","50,120,900",19.35,"45,518",0.02
26422,"Eldersburg, MD","30,486","47,603,413",18.38,"474,049",0.18
26443,"Eldon, MO","4,513","8,645,172",3.34,0.00,0.00
26470,"El Dorado, AR","18,698","52,478,274",20.26,0.00,0.00
26524,"El Dorado, KS","12,774","19,285,859",7.45,"20,061",0.01
26659,"Elgin, TX","10,779","12,346,592",4.77,0.00,0.00
26686,"Elizabeth City, NC","22,834","42,775,666",16.52,"23,115",0.01
26750,"Elizabethtown--Radcliff, KY","76,441","144,587,421",55.83,"1,299,087",0.50
26767,"Elk City, OK","11,124","23,342,372",9.01,0.00,0.00
26794,"Elkhart, IN--MI","148,199","245,890,129",94.94,"8,088,284",3.12
26821,"Elkhorn, WI","11,876","17,973,247",6.94,"144,932",0.06
26875,"Elkins, WV","11,109","18,442,398",7.12,0.00,0.00
26902,"Elko, NV","21,695","32,529,312",12.56,0.00,0.00
26956,"Elkton, VA","5,032","12,446,028",4.81,"63,976",0.02
26983,"Ellensburg, WA","21,518","22,894,467",8.84,"55,313",0.02
27010,"Ellenville, NY","7,090","8,555,617",3.30,"77,769",0.03
27037,"Ellijay, GA","6,738","34,217,672",13.21,"291,044",0.11
27085,"Ellwood City, PA","13,155","19,061,495",7.36,"322,979",0.12
27118,"Elmira, NY","62,468","82,097,640",31.70,"1,180,585",0.46
27253,"El Paso, TX--NM","854,584","662,734,881",255.88,"2,555,915",0.99
27261,"El Paso de Robles (Paso Robles)--Atascadero, CA","67,804","77,603,788",29.96,"114,779",0.04
27280,"El Reno, OK","14,346","22,571,973",8.72,"12,473",0.00
27290,"Elsa, TX","12,984","16,201,322",6.26,0.00,0.00
27307,"Elwood, IN","9,199","11,996,702",4.63,0.00,0.00
27361,"Ely, NV","4,455","8,018,080",3.10,0.00,0.00
27469,"Emmett, ID","10,173","14,841,901",5.73,"204,462",0.08
27523,"Emporia, KS","24,082","28,974,487",11.19,"210,549",0.08
27550,"Emporia, VA","6,871","16,944,802",6.54,"153,998",0.06
27631,"Enid, OK","50,194","76,371,567",29.49,"37,260",0.01
27658,"Ennis, TX","19,763","32,161,351",12.42,"904,179",0.35
27685,"Enterprise, AL","31,258","61,504,880",23.75,"151,495",0.06
27712,"Ephraim, UT","5,049","4,521,315",1.75,0.00,0.00
27739,"Ephrata, WA","8,050","11,064,057",4.27,0.00,0.00
27766,"Erie, PA","187,820","189,948,084",73.34,"595,822",0.23
27793,"Erwin, TN","8,678","15,347,733",5.93,"12,216",0.00
27820,"Escalon, CA","7,480","5,148,439",1.99,0.00,0.00
27847,"Escanaba, MI","21,159","46,782,957",18.06,"415,095",0.16
27874,"Española, NM","23,931","52,155,628",20.14,"422,050",0.16
27901,"Estacada, OR","5,267","7,746,329",2.99,"16,758",0.01
27928,"Estes Park, CO","7,907","31,468,729",12.15,"701,256",0.27
27955,"Estherville, IA","5,774","8,936,595",3.45,0.00,0.00
28009,"Etowah, TN","4,513","11,668,955",4.51,0.00,0.00
28063,"Eudora, KS","6,400","6,785,190",2.62,"109,922",0.04
28090,"Eufaula, AL--GA","9,184","18,010,672",6.95,"28,095",0.01
28117,"Eugene, OR","270,179","190,326,261",73.49,"164,467",0.06
